job_id,client_id,pay_amount,pay_verified,response_time_hours,complaints_count,complaints_payment_related,info_complete,profile_complete,past_jobs,past_paid_jobs,account_age_days,risk_label
J1000,C809,509.54,0,35.62,0,0,1,0,2,0,177,high_risk
J1001,C686,818.85,1,10.68,2,1,1,0,6,6,1018,high_risk
J1002,C281,324.47,1,3.9,0,0,1,1,4,4,1152,safe
J1003,C544,727.29,1,11.34,2,0,1,1,8,8,1472,caution
J1004,C239,444.0,0,68.78,0,0,0,0,0,0,7,high_risk
J1005,C400,1005.31,1,14.7,2,0,1,1,2,2,400,caution
J1006,C381,559.5,1,5.19,1,0,1,1,4,4,752,caution
J1007,C71,143.22,0,18.63,4,1,1,0,5,2,904,high_risk
J1008,C844,427.8,1,12.21,2,0,1,1,0,0,28,caution
J1009,C380,248.84,1,10.91,0,0,1,1,5,5,1079,safe
J1010,C680,3007.52,1,10.46,0,0,0,0,7,7,1280,caution
J1011,C561,360.21,1,4.25,1,0,1,1,8,8,1479,caution
J1012,C518,752.72,1,11.22,0,0,1,1,1,1,743,safe
J1013,C364,693.0,1,28.77,1,0,1,1,12,12,1929,caution
J1014,C996,269.31,0,18.32,0,0,0,0,6,2,1359,high_risk
J1015,C1166,197.77,0,14.21,0,0,1,1,0,0,19,high_risk
J1016,C207,699.5,1,28.64,2,0,1,1,6,6,1505,caution
J1017,C225,433.42,0,115.88,0,0,0,0,0,0,21,high_risk
J1018,C1102,503.88,1,11.65,0,0,1,0,0,0,90,caution
J1019,C466,533.98,0,31.27,0,0,0,0,9,4,1179,high_risk
J1020,C959,25.0,0,25.34,0,0,1,1,0,0,285,high_risk
J1021,C823,486.12,1,20.77,0,0,1,1,4,4,1218,safe
J1022,C1124,729.63,1,6.23,0,0,1,1,9,8,1411,safe
J1023,C325,148.36,0,26.63,0,0,1,0,7,3,1104,high_risk
J1024,C860,663.52,1,6.33,0,0,1,1,3,3,637,safe
J1025,C608,456.62,0,36.86,3,0,1,1,0,0,6,high_risk
J1026,C686,272.58,1,36.89,0,0,0,0,6,6,1351,caution
J1027,C864,569.29,1,20.09,0,0,0,1,0,0,21,caution
J1028,C921,496.56,0,21.98,0,0,0,0,0,0,22,high_risk
J1029,C1154,772.6,1,22.14,0,0,0,1,4,4,1441,caution
J1030,C267,388.34,1,8.44,1,1,0,1,4,4,1564,caution
J1031,C651,757.87,0,36.02,5,1,0,0,6,3,1039,high_risk
J1032,C492,492.62,0,22.97,0,0,0,0,1,0,25,high_risk
J1033,C876,586.53,1,5.49,0,0,1,1,11,11,1744,safe
J1034,C904,429.63,0,17.19,0,0,0,0,4,2,949,caution
J1035,C970,307.8,1,3.97,0,0,1,0,0,0,14,caution
J1036,C824,688.87,0,19.1,2,0,1,0,0,0,14,high_risk
J1037,C419,490.78,1,53.77,0,0,0,0,8,8,744,caution
J1038,C518,434.13,0,6.74,0,0,0,0,0,0,28,high_risk
J1039,C551,699.02,0,10.57,0,0,0,0,0,0,68,high_risk
J1040,C598,799.62,1,34.64,0,0,1,1,13,13,1773,safe
J1041,C1040,393.71,0,15.25,0,0,1,0,1,0,146,high_risk
J1042,C403,828.51,1,11.68,2,0,1,0,4,4,1096,caution
J1043,C768,343.65,0,36.26,0,0,0,0,1,0,25,high_risk
J1044,C698,542.46,0,10.09,0,0,1,0,1,0,100,high_risk
J1045,C23,672.33,0,41.52,0,0,1,1,6,2,940,high_risk
J1046,C342,25.0,1,11.33,0,0,1,1,17,17,1873,safe
J1047,C1078,304.59,0,25.0,0,0,1,0,0,0,18,high_risk
J1048,C626,414.1,0,47.77,0,0,1,0,7,2,605,high_risk
J1049,C486,553.25,0,16.47,0,0,0,0,0,0,19,high_risk
J1050,C534,499.98,0,30.66,0,0,0,1,0,0,9,high_risk
J1051,C862,25.0,0,16.3,0,0,0,1,0,0,18,high_risk
J1052,C712,421.04,0,12.76,0,0,0,0,9,4,1156,high_risk
J1053,C412,185.94,1,40.51,0,0,1,1,5,5,1567,safe
J1054,C671,375.26,0,29.24,0,0,0,0,5,2,1389,high_risk
J1055,C633,429.46,1,21.51,2,0,1,1,7,7,1549,caution
J1056,C152,540.91,1,8.92,0,0,1,1,9,8,1439,safe
J1057,C584,1286.91,1,6.57,2,0,1,1,3,3,784,caution
J1058,C244,504.12,0,5.64,0,0,0,0,0,0,15,high_risk
J1059,C83,389.33,0,30.26,0,0,1,0,0,0,0,high_risk
J1060,C1103,3159.09,1,5.5,0,0,0,0,5,4,1408,caution
J1061,C474,236.64,0,28.69,0,0,0,0,1,0,248,high_risk
J1062,C966,483.87,0,12.48,0,0,0,0,9,5,1538,caution
J1063,C299,268.84,1,16.13,1,0,0,1,0,0,201,caution
J1064,C193,417.02,0,93.23,0,0,0,0,5,3,455,high_risk
J1065,C719,538.78,0,147.76,0,0,0,0,6,2,800,high_risk
J1066,C264,317.5,1,14.77,2,0,1,1,7,7,1398,caution
J1067,C1152,471.27,0,36.35,0,0,1,0,0,0,15,high_risk
J1068,C271,425.72,1,13.19,0,0,1,0,0,0,9,caution
J1069,C936,907.82,1,7.62,0,0,1,1,6,6,687,safe
J1070,C248,2820.31,1,11.57,1,0,0,0,0,0,7,caution
J1071,C1096,596.24,0,65.99,0,0,0,0,5,2,1924,high_risk
J1072,C804,321.12,1,9.63,0,0,1,1,5,5,1239,safe
J1073,C592,25.0,0,133.78,0,0,0,0,0,0,26,high_risk
J1074,C354,374.1,1,9.42,2,1,1,1,0,0,23,high_risk
J1075,C62,588.61,0,33.63,2,1,0,0,0,0,5,high_risk
J1076,C624,539.3,0,17.1,0,0,1,0,0,0,16,high_risk
J1077,C295,549.67,1,16.77,2,1,1,1,2,2,284,high_risk
J1078,C496,535.99,0,24.01,0,0,0,0,4,2,426,caution
J1079,C578,479.76,1,14.58,0,0,1,0,3,3,558,caution
J1080,C175,316.8,1,10.12,2,0,1,1,2,2,939,caution
J1081,C432,348.14,1,17.01,0,0,1,1,20,15,1894,safe
J1082,C220,577.06,1,18.22,3,0,1,1,5,5,1311,caution
J1083,C553,892.42,0,60.26,0,0,0,0,0,0,4,high_risk
J1084,C709,543.12,0,20.81,0,0,0,0,0,0,5,high_risk
J1085,C1047,567.7,0,44.37,7,1,0,0,0,0,9,high_risk
J1086,C246,874.65,1,11.04,0,0,1,0,3,3,528,caution
J1087,C17,491.27,1,27.04,1,1,1,1,8,8,1952,caution
J1088,C724,307.03,1,19.08,1,0,1,1,0,0,12,caution
J1089,C255,570.3,1,14.59,1,0,1,1,9,9,1115,caution
J1090,C619,826.28,0,31.0,0,0,0,0,0,0,4,high_risk
J1091,C1162,675.1,1,7.48,2,1,1,1,1,1,631,high_risk
J1092,C474,538.97,1,12.73,0,0,1,1,8,7,959,safe
J1093,C726,114.16,0,56.54,0,0,0,0,5,3,1077,caution
J1094,C1077,190.27,0,23.07,0,0,0,0,0,0,24,high_risk
J1095,C443,566.49,0,59.85,0,0,0,0,0,0,137,high_risk
J1096,C183,429.39,1,17.14,1,0,1,1,5,5,588,caution
J1097,C244,480.73,0,10.82,0,0,1,0,0,0,4,high_risk
J1098,C14,694.75,0,17.3,0,0,0,1,0,0,19,high_risk
J1099,C516,248.39,0,107.02,3,1,0,0,1,0,44,high_risk
J1100,C978,374.95,0,25.21,3,1,0,0,8,4,653,high_risk
J1101,C971,740.08,1,7.08,0,0,1,1,15,15,1771,safe
J1102,C252,249.33,0,21.69,0,0,0,0,1,0,26,high_risk
J1103,C1177,732.24,1,13.71,0,0,1,0,7,7,1352,caution
J1104,C548,570.54,1,21.13,1,0,1,1,9,9,1346,caution
J1105,C317,474.79,1,9.95,2,0,1,1,4,4,617,caution
J1106,C157,529.34,1,7.65,0,0,0,1,10,10,1275,caution
J1107,C967,573.73,0,9.4,0,0,0,0,0,0,3,high_risk
J1108,C1045,631.39,0,21.2,0,0,1,0,0,0,16,high_risk
J1109,C48,92.62,1,8.01,0,0,1,1,9,9,1375,safe
J1110,C751,753.31,1,14.77,0,0,1,1,13,13,1755,safe
J1111,C903,2851.26,0,46.68,0,0,0,0,0,0,8,high_risk
J1112,C1168,730.34,0,86.77,0,0,0,0,0,0,1,high_risk
J1113,C1012,589.46,0,13.27,0,0,1,0,5,3,619,caution
J1114,C601,936.66,1,17.82,0,0,0,1,0,0,21,caution
J1115,C368,357.38,0,29.85,0,0,0,0,0,0,663,high_risk
J1116,C1174,823.39,1,8.17,0,0,1,0,9,9,1248,caution
J1117,C848,327.61,1,21.07,1,0,1,1,6,6,1712,caution
J1118,C313,609.02,0,75.38,0,0,1,0,4,1,538,high_risk
J1119,C1156,712.37,1,12.36,0,0,1,1,6,6,1789,safe
J1120,C559,503.7,1,9.15,0,0,1,1,12,12,1767,safe
J1121,C798,110.37,1,29.85,1,0,1,1,6,6,1830,caution
J1122,C597,526.79,1,21.37,0,0,1,1,0,0,21,caution
